75,239,75
183,239,183
93,239,93
425,239,425
242,239,242
154,239,154
20,239,20
198,239,198
21,239,21
367,239,367
247,564,247
75,247,75
247,334,247
522,443,522
532,443,532
255,532,255
863,532,863
152,532,152
39,39,39
58,39,58
547,39,547
314,39,314
27,39,27
33,39,33
215,39,215
57,39,57
79,39,79
161,39,161
14,39,14
456,39,456
62,39,62
2,39,2
238,39,238
228,39,228
50,39,50
39,4,39
264,39,264
137,39,137
339,39,339
58,58,58
58,82,58
55,58,55
58,110,58
69,58,69
28,58,28
121,58,121
441,58,441
58,88,58
58,220,58
58,212,58
917,58,917
58,4,58
411,58,411
22,58,22
936,58,936
32,58,32
938,58,938
159,58,159
368,58,368
58,361,58
971,58,971
972,58,972
58,128,58
547,88,547
547,220,547
547,4,547
547,128,547
314,27,314
314,57,314
314,110,314
314,1,314
314,43,314
314,88,314
314,220,314
314,4,314
314,128,314
27,27,27
33,27,33
617,27,617
42,27,42
27,57,27
27,110,27
27,1,27
27,43,27
27,88,27
27,220,27
27,4,27
27,128,27
436,220,436
33,57,33
33,110,33
33,1,33
33,43,33
33,88,33
33,220,33
33,4,33
33,128,33
183,183,183
20,183,20
198,183,198
21,183,21
367,183,367
566,205,566
383,675,383
163,55,163
163,112,163
81,55,81
627,627,627
42,315,42
94,55,94
649,55,649
57,57,57
79,57,79
14,57,14
57,220,57
57,4,57
57,128,57
657,315,657
79,220,79
79,4,79
79,128,79
105,188,105
3,188,3
419,675,419
678,55,678
689,55,689
689,112,689
23,55,23
117,315,117
438,55,438
176,55,176
692,55,692
693,55,693
14,220,14
14,4,14
14,128,14
105,43,105
105,361,105
3,43,3
3,361,3
29,359,29
29,19,29
416,55,416
706,55,706
707,55,707
55,315,55
993,55,993
86,443,86
86,121,86
86,315,86
361,86,361
722,443,722
722,121,722
722,315,722
